census_id,CLSC_code,census_type
4620050,6323,CT
4620051,6323,CT
4620052,6323,CT
4620053,6323,CT
4620054,6323,CT
4620055.01,6324,CT
4620055.02,6311,CT
4620056,6324,CT
4620057,6324,CT
4620058,6324,CT
4620059,6324,CT
4620060,6324,CT
4620061,6324,CT
4620062,6324,CT
4620063,6225,CT
4620064,6225,CT
4620065.01,6225,CT
4620065.02,6225,CT
4620066.01,6225,CT
4620066.02,6225,CT
4620067,6311,CT
4620068,6311,CT
4620069.01,6311,CT
4620069.02,6311,CT
4620070.01,6311,CT
4620070.02,6311,CT
4620071,6314,CT
4620072,6314,CT
4620073,6314,CT
4620074,6314,CT
4620075,6314,CT
4620076,6314,CT
4620077,6311,CT
4620078,6311,CT
4620079,6311,CT
4620080,6311,CT
4620081,6311,CT
4620082,6311,CT
4620083,6311,CT
4620084,6311,CT
4620085,6312,CT
4620086,6312,CT
4620087,6312,CT
4620088,6312,CT
4620089,6312,CT
4620090,6312,CT
4620091,6312,CT
4620092,6312,CT
4620093,6312,CT
4620094.01,6212,CT
4620094.02,6311,CT
4620095,6212,CT
4620096,6212,CT
4620097.01,6212,CT
4620097.02,6212,CT
4620098,6212,CT
4620099,6212,CT
4620100.01,6212,CT
4620100.02,6212,CT
4620101.01,6212,CT
4620101.02,6212,CT
4620102,6212,CT
4620103,6212,CT
4620104,6212,CT
4620105,6212,CT
4620106,6212,CT
4620107,6212,CT
4620108,6212,CT
4620109,6223,CT
4620110,6211,CT
4620111,6211,CT
4620112.01,6223,CT
4620112.02,6223,CT
4620113,6223,CT
4620114,6223,CT
4620115.01,6223,CT
4620115.02,6224,CT
4620120.01,6223,CT
4620121,6222,CT
4620122,6224,CT
4620123,6224,CT
4620124,6224,CT
4620125,6224,CT
4620126,6224,CT
4620127.01,6224,CT
4620127.02,6224,CT
4620128,6225,CT
4620129.01,6225,CT
4620129.02,6225,CT
4620130,6225,CT
4620131,6225,CT
4620132,6225,CT
4620133,6321,CT
4620134,6321,CT
4620135,6321,CT
4620136,6321,CT
4620137,6321,CT
4620138,6321,CT
4620139,6321,CT
4620140,6322,CT
4620141,6322,CT
4620142,6322,CT
4620143,6322,CT
4620144,6322,CT
4620145,6322,CT
4620146,6322,CT
4620147,6322,CT
4620148,6322,CT
4620149,6322,CT
4620150,6322,CT
4620151,6322,CT
4620152,6322,CT
4620153,6322,CT
4620154,6322,CT
4620155,6322,CT
4620156,6322,CT
4620157,6322,CT
4620158,6322,CT
4620159,6322,CT
4620160,6322,CT
4620161,6321,CT
4620162,6321,CT
4620163,6321,CT
4620164,6321,CT
4620165,6321,CT
4620166,6321,CT
4620167,6321,CT
4620168,6321,CT
4620169,6321,CT
4620170,6321,CT
4620171,6321,CT
4620172,6322,CT
4620173,6322,CT
4620174,6322,CT
4620175,6322,CT
4620176,6322,CT
4620177,6322,CT
4620178,6322,CT
4620179,6432,CT
4620180,6531,CT
4620181,6531,CT
4620182,6531,CT
4620183,6531,CT
4620184,6531,CT
4620185,6531,CT
4620186,6531,CT
4620187.03,6531,CT
4620187.04,6531,CT
4620188.01,6531,CT
4620188.02,6531,CT
4620189,6531,CT
4620190.01,6532,CT
4620190.02,6531,CT
4620191,6532,CT
4620192,6524,CT
4620193,6524,CT
4620194,6524,CT
4620195.01,6531,CT
4620195.02,6532,CT
4620195.03,6532,CT
4620196,6531,CT
4620197,6531,CT
4620198,6531,CT
4620199,6531,CT
4620200,6531,CT
4620201,6531,CT
4620202,6531,CT
4620203,6531,CT
4620204,6531,CT
4620205,6432,CT
4620206,6432,CT
4620207,6432,CT
4620208,6432,CT
4620210,6432,CT
4620211,6432,CT
4620212,6432,CT
4620213,6432,CT
4620214,6432,CT
4620215,6432,CT
4620216,6432,CT
4620217,6432,CT
4620218,6432,CT
4620219,6432,CT
4620220,6221,CT
4620221,6221,CT
4620222,6221,CT
4620223.01,6221,CT
4620223.02,6221,CT
4620224,6221,CT
4620225,6431,CT
4620226,6431,CT
4620227,6431,CT
4620228,6431,CT
4620229,6431,CT
4620230,6431,CT
4620231,6431,CT
4620232,6431,CT
4620233,6431,CT
4620234,6431,CT
4620235,6431,CT
4620236,6431,CT
4620237,6431,CT
4620238,6431,CT
4620239,6431,CT
4620240,6431,CT
4620241,6431,CT
4620242,6431,CT
4620243,6431,CT
4620244,6431,CT
4620245,6431,CT
4620249,6431,CT
4620250,6511,CT
4620251.01,6511,CT
4620251.02,6511,CT
4620252,6511,CT
4620253,6511,CT
4620254,6511,CT
4620256,6511,CT
4620257,6511,CT
4620258,6511,CT
4620259,6511,CT
4620260,6511,CT
4620261,6511,CT
4620262,6511,CT
4620263,6511,CT
4620264.01,6421,CT
4620264.02,6421,CT
4620265,6421,CT
4620266,6421,CT
4620267,6421,CT
4620268.01,6411,CT
4620268.02,6411,CT
4620268.03,6411,CT
4620269,6421,CT
4620270,6421,CT
4620271,6421,CT
4620272,6421,CT
4620273,6421,CT
4620274,6421,CT
4620275,6421,CT
4620276,6421,CT
4620277,6421,CT
4620278,6421,CT
4620279,6421,CT
4620280,6421,CT
4620281,6421,CT
4620283.01,6411,CT
4620283.02,6411,CT
4620284,6411,CT
4620285,6411,CT
4620286,6411,CT
4620287.01,6411,CT
4620287.02,6411,CT
4620288,6411,CT
4620290.01,6521,CT
4620290.02,6521,CT
4620290.03,6521,CT
4620290.04,6521,CT
4620290.05,6521,CT
4620290.06,6521,CT
4620290.07,6521,CT
4620290.08,6521,CT
4620290.09,6521,CT
4620291.01,6521,CT
4620291.03,6521,CT
4620291.04,6521,CT
4620300,6313,CT
4620301,6313,CT
4620302,6313,CT
4620303,6313,CT
4620304,6313,CT
4620305,6313,CT
4620306,6313,CT
4620307,6313,CT
4620308,6313,CT
4620309,6313,CT
4620310,6313,CT
4620311,6313,CT
4620312,6313,CT
4620313,6313,CT
4620314,6313,CT
4620315,6313,CT
4620316,6313,CT
4620317.02,6313,CT
4620317.03,6313,CT
4620317.04,6313,CT
4620320,6122,CT
4620321,6122,CT
4620322.02,6122,CT
4620322.03,6122,CT
4620322.04,6122,CT
4620323,6122,CT
4620324.01,6122,CT
4620324.02,6122,CT
4620325.01,6122,CT
4620325.02,6122,CT
4620325.03,6122,CT
4620325.05,6122,CT
4620325.06,6122,CT
4620326.01,6122,CT
4620326.02,6122,CT
4620326.03,6122,CT
4620327,6122,CT
4620328,6122,CT
4620329,6122,CT
4620330,6121,CT
4620360,6222,CT
